,CRUDE_PETRO,CRUDE_BRENT,CRUDE_DUBAI,CRUDE_WTI,COAL_AUS,COAL_SAFRICA,NGAS_US,NGAS_EUR,NGAS_JP,iNATGAS,COCOA,COFFEE_ARABIC,COFFEE_ROBUS,TEA_AVG,TEA_COLOMBO,TEA_KOLKATA,TEA_MOMBASA,COCONUT_OIL,GRNUT,FISH_MEAL,GRNUT_OIL,PALM_OIL,PLMKRNL_OIL,SOYBEANS,SOYBEAN_OIL,SOYBEAN_MEAL,BARLEY,MAIZE,SORGHUM,RICE_05,RICE_25,RICE_A1,RICE_05_VNM,WHEAT_US_SRW,WHEAT_US_HRW,BANANA_EU,BANANA_US,ORANGE,BEEF,CHICKEN,LAMB,SHRIMP_MEX,SUGAR_EU,SUGAR_US,SUGAR_WLD,TOBAC_US,LOGS_CMR,LOGS_MYS,SAWNWD_CMR,SAWNWD_MYS,PLYWOOD,COTTON_A_INDX,RUBBER_TSR20,RUBBER1_MYSG,PHOSROCK,DAP,TSP,UREA_EE_BULK,POTASH,ALUMINUM,IRON_ORE,COPPER,LEAD,Tin,NICKEL,Zinc,GOLD,PLATINUM,SILVER
1970,1.21,..,1.21,..,7.8,..,0.17,0.44721801,..,4.190435478,0.675,1.146616667,0.913555075,0.835,0.6266412,0.9906667,0.8875996,397.1833333,..,..,378.5458333,260.0458333,..,116.9166667,286.3333333,102.5833333,26.35866551,58.4,51.8,126.3083333,..,..,..,..,54.9025,..,0.166083333,0.168041667,1.304291667,0.419972034,..,2.7337288,0.112215158,0.1653465,0.082241667,1075.9775,42.99,43.13166667,175,175.4064044,..,0.676283333,..,0.407166667,11,54,42.5,18.25,31.5,614.1704508,9.84,1415.7,302.9083333,3673.45,2846.2,295.8166667,35.94166667,132.5,1.770833333
1971,1.69,..,1.69,..,8.68,..,0.18,0.502243544,..,4.573459075,0.538,0.991875,0.931577408,0.850691667,0.676732825,0.973809375,0.9015996,365.5266667,..,..,440.615,260.9416667,..,125.5833333,303.75,102.25,28.3829506,58.4,55.77,111.5375,..,..,..,..,61.72833333,..,0.140166667,0.153008333,1.345858333,0.440067121,0.796758333,3.30693,0.113831879,0.174899853,0.0991,1042.646667,44.43,43.265,..,175.7238799,..,0.7832,..,0.33255,11.25,61.75,43.25,16,32.5,627.9493205,10.33,1081.416667,253.625,3511.966667,2932.1,309.2833333,40.80416667,123.0416667,1.545641667
1972,1.82,..,1.82,..,9.6,..,0.19,0.542165987,..,4.884682996,0.644,1.109591667,0.996079375,0.782241667,0.699631592,0.836487142,0.8105997,234.06,..,..,425.9341667,217.2583333,..,140,240.5833333,129.8333333,30.06642976,55.7525,56.23833333,129.4491667,..,..,..,..,69.8125,..,0.1361,0.154983333,1.480266667,0.4726238,1.0681,4.1226394,0.150024391,0.188127573,0.160275,1073.6425,52.48,41.11583333,..,170.9285738,..,0.826991667,..,0.331775,11.5,91,67.5,29.25,33.5,590.1033122,10.33,1057.675,301.6583333,3739.958333,3079.9,377.6916667,58.15916667,127.125,1.684566667
1973,2.8075,..,2.8075,..,11.48,..,0.21,0.693506724,..,5.847020144,1.131,1.37345,1.0998595,0.788258333,0.661593533,0.865924642,0.837243858,513,..,..,546.1683333,377.5383333,..,290.3333333,436,301.6666667,51.02919135,97.82166667,93.39166667,289.58,..,..,..,..,139.81,..,0.145083333,0.163,2.010875,0.529077544,1.39105,5.0044874,0.147048154,0.226855398,0.208575,1128.020833,133.47,68.02916667,..,223.5288486,..,1.390575,..,0.678008333,13.75,118.75,99.5,64.75,42.5,599.1054891,10.33,1785.358333,429.6833333,4802.2,3373.1,845.3333333,97.32583333,152.1841667,2.557558333
1974,10.97499943,..,10.97499943,..,16.89,..,0.29,1.73,..,11.7459504,1.561,1.451533333,1.293549333,1.093775,0.8898866,1.25462845,1.1368,997.5833333,..,..,1076.8875,669.0533333,..,276.9166667,832.1666667,184.3333333,64.93309852,131.2258333,120.9425,517.165,..,..,..,..,179.7058333,..,0.183995833,0.183975,1.582225,0.558902305,1.423591667,4.6517482,0.234700171,0.649977092,0.654816667,1482.0725,120.43,81.66333333,..,246.833654,..,1.458741667,..,0.7516,54.52083333,332.6208333,303.5833333,285.75,60.5,764.8194377,13.38,2058.5,592.2583333,8184.266667,3825.25,1239.583333,159.245,184.9775,4.70798
1975,10.43250012,..,10.43250012,..,26.84,..,0.43,1.682093591,..,13.21827687,1.246,1.442125,1.345852667,1.14215,0.8814117,1.448583167,1.096473117,393.5,..,..,857.5,434.1691667,..,219.9166667,563.3333333,155,58.97861512,119.635,111.8733333,341.4283333,..,..,..,..,149.055,..,0.217666667,0.228008333,1.327091667,0.580630093,1.477591667,5.8863354,0.3404117,0.495451601,0.451091667,1841.989167,126.57,67.51,..,223.4381849,..,1.222875,..,0.560908333,67.16666667,242.5,202.5,168,81.33333333,868.4365641,17.3,1234.75,411.675,6876.575,4571.333333,745.1666667,161.0291667,169.8741667,4.418515
1976,11.63000011,..,11.63000011,..,27.16,..,0.580833333,1.7351133,..,15.30195652,2.04575,3.146658333,2.813397667,1.187116667,0.927567367,1.418217083,1.21553025,418.5,..,..,712.8333333,406.5341667,..,231.1666667,438.3333333,200,55.79403044,112.3716667,105.2133333,234.6808333,..,..,..,..,132.92,..,0.258583333,0.216,1.581,0.610294666,1.566083333,8.3114174,0.29521699,0.293434922,0.254825,2186.715,142.3391667,92.0175,..,263.5477433,..,1.747508333,..,0.773733333,35.83333333,119.9166667,90.91666667,82,55.5,889.9316406,22.72,1400.75,446.4166667,7585.541667,4973.083333,711.4166667,124.8158333,159.6475,4.355625
1977,12.56500006,..,12.56500006,..,28.67851852,..,0.79,1.791622607,2.771162873,19.98803552,3.790066667,5.168866667,4.932852083,1.954441667,1.695834117,2.0673815,2.100129833,578.1666667,..,..,852.75,530.025,..,280.1666667,580.25,229.8333333,47.88644112,95.35,88.36666667,252.225,..,..,..,..,103.2183333,..,0.27375,0.254,1.506466667,0.651783918,1.700625,7.9145858,0.308922378,0.242600059,0.178933333,2253.925833,158.77,92.56666667,..,264.9837489,..,1.628541667,..,0.814683333,61.7875,134.0833333,97.91666667,120.7631944,55.29375,1143.830343,23.06,1308.75,618,10804.45,5118.166667,589.6666667,147.7208333,158.3216667,4.636083333
1978,12.91666667,..,12.91666667,..,29.05865741,..,0.905833333,2.302218099,3.036080842,24.00148012,3.403158333,3.589991667,3.251241833,1.409483333,0.745656758,1.874951917,1.60779825,683.2083333,..,..,1079.166667,600.3333333,..,268.3333333,607,213.2916667,54.96006052,100.7425,93.83833333,345.6575,..,..,..,..,127.745,..,0.28725,0.30015,2.138275,0.69505797,2.194141667,8.0689092,0.351195966,0.308058901,0.172308333,2268.0175,191.2808333,97.35833333,..,272.2821052,..,1.606666667,..,0.985625,31.28125,139.8333333,98.04166667,136.0354167,59.01041667,1324.921509,21.45,1364.833333,661.9166667,12875.20833,4609.25,593.9166667,193.2391667,260.6508333,5.418766667
1979,30.96458328,32.11250003,29.81666652,..,30.89,..,1.18,3.259488575,3.692422916,32.3262935,3.292833333,3.826133333,3.651941667,1.505391667,0.782832642,2.102503333,1.6308335,984.5,..,394.875,888.6666667,653.8333333,..,297.75,662.1833333,243.025,65.24704523,115.5225,108.1083333,313.0691667,..,..,..,156.31,160.2933333,..,0.325616667,0.398458333,2.884016667,0.740557555,2.370966667,11.9710866,0.425307942,0.342322371,0.21295,2344.433333,211.525,170.0416667,..,365.931893,262.5,1.70735,..,1.2621,35.47916667,193.3333333,146.225,153.0020833,76.46875,1602.868225,23.5,1985.258333,1208.25,15447.40833,5986,741.6666667,306.6675,442.7983333,11.099575
